,item_brand,item_name,item_price,item_link
78,Steve Madden,Winnie Harlow x Lisa Love Lug Booties,$99.99,https://www.macys.com/shop/product/winnie-harlow-x-steve-madden-lisa-love-lug-booties?ID=10355590&CategoryID=56233
79,INC International Concepts,"INC Women's Zitah Pointed Toe Pumps, Created for Macy's",$34.63,https://www.macys.com/shop/product/inc-womens-zitah-pointed-toe-pumps-created-for-macys?ID=10354020&CategoryID=56233
80,Kenneth Cole Reaction,Women's Wind Riding Boots,$99.99,https://www.macys.com/shop/product/kenneth-cole-reaction-womens-wind-riding-boots?ID=9996333&CategoryID=56233
81,Jessica Simpson,Ginly Round-Toe Flats,$32.43,https://www.macys.com/shop/product/jessica-simpson-ginly-round-toe-flats?ID=10486769&CategoryID=56233
82,Sam Edelman,Reagan Wedge Booties ,$126.00,https://www.macys.com/shop/product/sam-edelman-reagan-wedge-booties?ID=9674964&CategoryID=56233
83,INC International Concepts,"INC Floriann Block Heel Bootie, Created for Macy's",$119.50,https://www.macys.com/shop/product/inc-floriann-block-heel-bootie-created-for-macys?ID=10498037&CategoryID=56233
84,Tahari Girls,Laurena Pointy Toe Flats,$26.93,https://www.macys.com/shop/product/tahari-girls-laurena-pointy-toe-flats?ID=10365681&CategoryID=56233
85,Marc Fisher,Retire Booties,$129.00,https://www.macys.com/shop/product/marc-fisher-retire-booties?ID=10495844&CategoryID=56233
86,INC International Concepts,"INC Women's Zitah Pointed Toe Pumps, Created for Macy's",$34.63,https://www.macys.com/shop/product/inc-womens-zitah-pointed-toe-pumps-created-for-macys?ID=10397651&CategoryID=56233
87,American Rag,"Krista T-Strap Flat Sandals, Created For Macy's",$12.93,https://www.macys.com/shop/product/american-rag-krista-t-strap-flat-sandals-created-for-macys?ID=10423565&CategoryID=56233
88,ZiGi Soho,Kerlynn Wedge Booties,$31.03,https://www.macys.com/shop/product/zigi-soho-kerlynn-wedge-booties?ID=10491146&CategoryID=56233
89,Kenneth Cole Reaction,Kick Block-Heel Booties,$58.03,https://www.macys.com/shop/product/kenneth-cole-reaction-kick-block-heel-booties?ID=10324446&CategoryID=56233
90,Tahari Girls,Claribel Mules,$28.93,https://www.macys.com/shop/product/tahari-girls-claribel-mules?ID=10365754&CategoryID=56233
91,Material Girl,"Darcie Pumps, Created for Macy's",$29.63,https://www.macys.com/shop/product/material-girl-darcie-pumps-created-for-macys?ID=10423458&CategoryID=56233
92,Born,Carmel Harness Booties,$61.93,https://www.macys.com/shop/product/born-carmel-harness-booties?ID=10499221&CategoryID=56233
93,Tahari Girls,Alessia Flats,$26.93,https://www.macys.com/shop/product/tahari-girls-alessia-flats?ID=10365706&CategoryID=56233
