,item_name,item_price,item_link
103,Nike Blazer Mid '77 Vintage Sneaker (Unisex),$100.00,https://shop.nordstrom.com/s/nike-blazer-mid-77-vintage-sneaker-unisex/5111965?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=white%2F%20black
104,Linea Paolo Felicia Wedge Bootie (Women),$79.90,https://shop.nordstrom.com/s/linea-paolo-felicia-wedge-bootie-women/5532933?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=camo%20print%20suede
105,Tory Burch Miller Knee High Boot (Women),$233.56,https://shop.nordstrom.com/s/tory-burch-miller-knee-high-boot-women/5389152?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=corvino%20%2F%20corvino
106,Madewell The Scuff Curly Faux Fur Slipper (Women),$19.75,https://shop.nordstrom.com/s/madewell-the-scuff-curly-faux-fur-slipper-women/5409149?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=summer%20dune
107,UGG® Kesey Waterproof Boot (Women),$159.95,https://shop.nordstrom.com/s/ugg-kesey-waterproof-boot-women/3714617?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=chestnut
108,Tory Burch Chelsea Pump (Women),$138.98,https://shop.nordstrom.com/s/tory-burch-chelsea-pump-women/5484438?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=royal%20tan
109,Stuart Weitzman Quinn Block Heel Bootie (Women),$199.00 – $238.00,https://shop.nordstrom.com/s/stuart-weitzman-quinn-block-heel-bootie-women/5469451?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black%20dress%20nappa
110,Nike ACG Moc 3.0 Hiking Sneaker (Unisex),$90.00,https://shop.nordstrom.com/s/nike-acg-moc-3-0-hiking-sneaker-unisex/5536770?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=cargo%20khaki%2F%20oil%20green%2F%20black
111,Blondo Nina Waterproof Suede Boot (Women),$99.90,https://shop.nordstrom.com/s/blondo-nina-waterproof-suede-boot-women/5281217?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=mushroom%20suede
112,Nike Daybreak QS Sneaker (Women),$120.00,https://shop.nordstrom.com/s/nike-daybreak-qs-sneaker-women/5509942?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=gold%20suede%2F%20black%2F%20red%2F%20sail
113,Clarks® Wave Go Waterproof Sneaker (Women),$78.00,https://shop.nordstrom.com/s/clarks-wave-go-waterproof-sneaker-women/5514317?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=navy%20nubuck%2F%20leather%20combi
114,Gucci New Ace Sneaker (Women),$650.00,https://shop.nordstrom.com/s/gucci-new-ace-sneaker-women/4701092?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=white%20leather
115,UGG® Bailey Bow II Genuine Shearling Boot (Women),$204.95,https://shop.nordstrom.com/s/ugg-bailey-bow-ii-genuine-shearling-boot-women/4366940?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=chestnut%20suede
116,UGG® Adirondack III Waterproof Boot (Women),$249.95,https://shop.nordstrom.com/s/ugg-adirondack-iii-waterproof-boot-women/5025434?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=chestnut
117,Veja Esplar Sneaker (Women),$120.00,https://shop.nordstrom.com/s/veja-esplar-sneaker-women/5425640?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=extra%20white%20black
