,item_brand,item_name,item_price,item_link
49,Christian Louboutin,CL Suede Red Sole Booties,"$1,095",https://www.neimanmarcus.com/p/christian-louboutin-cl-suede-red-sole-booties-prod224020414?childItemId=NMX4TE2_&navpath=cat000000_cat000141_cat47190746&page=0&position=49&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
50,MICHAEL Michael Kors,Augustine Flat Woven Slide Sandals,$29,https://www.neimanmarcus.com/p/michael-michael-kors-augustine-flat-woven-slide-sandals-prod222110034?childItemId=NMX4PXM_&navpath=cat000000_cat000141_cat47190746&page=0&position=50&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
51,Manolo Blahnik,Susa Rainbow Fabric Flat Sandals,$307,https://www.neimanmarcus.com/p/manolo-blahnik-susa-rainbow-fabric-flat-sandals-prod228430917?childItemId=NMX4ZK7_&navpath=cat000000_cat000141_cat47190746&page=0&position=51&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
52,Manolo Blahnik,Campcha Leather Lace-Up Boots,$673,https://www.neimanmarcus.com/p/manolo-blahnik-campcha-leather-lace-up-boots-prod222920128?childItemId=NMX4RM2_&navpath=cat000000_cat000141_cat47190746&page=0&position=52&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
53,Giuseppe Zanotti,Snake-Print Knee Boots,$660,https://www.neimanmarcus.com/p/giuseppe-zanotti-snake-print-knee-boots-prod220840275?childItemId=NMX4NJJ_&navpath=cat000000_cat000141_cat47190746&page=0&position=53&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
54,Gentle Souls,Raven Embossed Leather Comfort Pumps,$50,https://www.neimanmarcus.com/p/gentle-souls-raven-embossed-leather-comfort-pumps-prod224540047?childItemId=NMX4UJP_&navpath=cat000000_cat000141_cat47190746&page=0&position=54&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
55,Gentle Souls,Essex Easy Suede Booties,$44,https://www.neimanmarcus.com/p/gentle-souls-essex-easy-suede-booties-prod224540124?childItemId=NMX4UJL_&navpath=cat000000_cat000141_cat47190746&page=0&position=55&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
56,Chloe,Rylee Lace-Up Box Calf Boot,$614,https://www.neimanmarcus.com/p/chloe-rylee-lace-up-box-calf-boot-prod228411192?childItemId=NMX4ZJ2_&navpath=cat000000_cat000141_cat47190746&page=0&position=56&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
57,Tory Burch,Patos Disk Leather Flat Slide Sandals,$109,https://www.neimanmarcus.com/p/tory-burch-patos-disk-leather-flat-slide-sandals-prod226720066?childItemId=NMX416S_&navpath=cat000000_cat000141_cat47190746&page=0&position=57&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
58,Fendi,Neoprene Zip Pointed Booties,"$1,150",https://www.neimanmarcus.com/p/fendi-neoprene-zip-pointed-booties-prod221390388?childItemId=NMX4PC2_&navpath=cat000000_cat000141_cat47190746&page=0&position=58&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
59,Brunello Cucinelli,Metallic Leather Chelsea Boots,$660,https://www.neimanmarcus.com/p/brunello-cucinelli-metallic-leather-chelsea-boots-prod220870057?childItemId=NMX4NK7_&navpath=cat000000_cat000141_cat47190746&page=0&position=59&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
60,Gentle Souls,Bessie Laser-Cut Sandals,$55,https://www.neimanmarcus.com/p/gentle-souls-bessie-laser-cut-sandals-prod227530457?childItemId=NMS21SW_&navpath=cat000000_cat000141_cat47190746&page=0&position=60&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
61,Gucci,75mm Marmont Metallic Sandal,$730,https://www.neimanmarcus.com/p/gucci-75mm-marmont-metallic-sandal-prod200400220?childItemId=NMX3SR9_&navpath=cat000000_cat000141_cat47190746&page=0&position=61&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
62,Jimmy Choo,Jaime Flat Suede Ankle-Strap Sandals,$254,https://www.neimanmarcus.com/p/jimmy-choo-jaime-flat-suede-ankle-strap-sandals-prod219640117?childItemId=NMX4LKW_&navpath=cat000000_cat000141_cat47190746&page=0&position=62&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
63,ALAIA,"Laser-Cut Studded Pumps, Silver",$605,https://www.neimanmarcus.com/p/alaia-laser-cut-studded-pumps-silver-prod221880283?childItemId=NMX4PMS_&navpath=cat000000_cat000141_cat47190746&page=0&position=63&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
64,Salvatore Ferragamo,Vara 1 Patent Bow Pumps,$575,https://www.neimanmarcus.com/p/salvatore-ferragamo-vara-1-patent-bow-pumps-prod205710266?childItemId=NMS15Q6_&navpath=cat000000_cat000141_cat47190746&page=0&position=64&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
65,Golden Goose,Ball Star Snake-Print Sneakers,$530,https://www.neimanmarcus.com/p/golden-goose-ball-star-snake-print-sneakers-prod226360332?childItemId=NMX4WX2_&navpath=cat000000_cat000141_cat47190746&page=0&position=65&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
66,Gentle Souls,Bessie Laser-Cut Sandals,$55,https://www.neimanmarcus.com/p/gentle-souls-bessie-laser-cut-sandals-prod208340791?childItemId=NMX43R1_&navpath=cat000000_cat000141_cat47190746&page=0&position=66&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
67,Dolce & Gabbana,Portofino Stars Sneakers,$675,https://www.neimanmarcus.com/p/dolce-gabbana-portofino-stars-sneakers-prod220740083?childItemId=NMX4N7W_&navpath=cat000000_cat000141_cat47190746&page=0&position=67&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
68,Fendi,Neoprene Logo High Pumps,$990,https://www.neimanmarcus.com/p/fendi-neoprene-logo-high-pumps-prod221390426?childItemId=NMX4PC1_&navpath=cat000000_cat000141_cat47190746&page=0&position=68&uuid=PDP_PAGINATION_9fd4c84ee4d674e52fab226a0dfc46de_pHVe_OXJooLhSR91Au5NgiCB0NXORvQZ8sYuRgCv.jsession
