,item,macys_price_x,macys_link_x,nm_price_x,nm_link_x,macys_price_y,macys_link_y,nordstrom_price_x,nordstrom_link_x,nm_price_y,nm_link_y,nordstrom_price_y,nordstrom_link_y
20,minnetonkacallyslipper,,,,,$39.95,https://www.macys.com/shop/product/minnetonka-cally-slipper?ID=10249378&CategoryID=56233,$39.95,https://shop.nordstrom.com/s/minnetonka-cally-slipper/3036580?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=stone,,,,
21,minnetonkacallyslipper,,,,,$39.95,https://www.macys.com/shop/product/minnetonka-cally-slipper?ID=10249378&CategoryID=56233,$39.95,https://shop.nordstrom.com/s/minnetonka-cally-slipper-women/3885301?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=red,,,,
22,minnetonkacallyslipper,,,,,$39.95,https://www.macys.com/shop/product/minnetonka-cally-slipper?ID=10249378&CategoryID=56233,$39.95,https://shop.nordstrom.com/s/minnetonka-cally-slipper/3495683?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=cinnamon,,,,
23,softwalkwhistleslipon,,,,,$109.95,https://www.macys.com/shop/product/softwalk-whistle-slip-on?ID=10326211&CategoryID=56233,$99.95 – $109.95,https://shop.nordstrom.com/s/softwalk-whistle-slip-on-women/4809437?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black%20patent%20leather,,,,
24,softwalkwhistleslipon,,,,,$109.95,https://www.macys.com/shop/product/softwalk-whistle-slip-on?ID=10326211&CategoryID=56233,$109.95,https://shop.nordstrom.com/s/softwalk-whistle-slip-on-women/5497140?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=grey%20fabric,,,,
25,softwalkwhistleslipon,,,,,$109.95,https://www.macys.com/shop/product/softwalk-whistle-slip-on?ID=10326211&CategoryID=56233,$109.95,https://shop.nordstrom.com/s/softwalk-whistle-slip-on-women/5517004?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=light%20grey%20leather,,,,
26,trottersmajorbootie,,,,,$139.95,https://www.macys.com/shop/product/trotters-major-bootie?ID=10379231&CategoryID=56233,$134.95 – $139.95,https://shop.nordstrom.com/s/trotters-major-bootie-women/4752170?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=dark%20taupe%20combo%20leather,,,,
27,trotterssizzlesignatureflat,,,,,$109.95,https://www.macys.com/shop/product/trotters-sizzle-signature-flat?ID=10378743&CategoryID=56233,$99.95,https://shop.nordstrom.com/s/trotters-sizzle-signature-flat/5452428?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=grey%20fabric,,,,
28,trotterssizzlesignatureflat,,,,,$109.95,https://www.macys.com/shop/product/trotters-sizzle-signature-flat?ID=10378743&CategoryID=56233,$99.95 – $109.95,https://shop.nordstrom.com/s/trotters-sizzle-signature-flat/3304813?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=nude%20leather,,,,
29,minnetonkaannaballerinaflat,,,,,$52.95,https://www.macys.com/shop/product/minnetonka-anna-ballerina-flat?ID=10274589&CategoryID=56233,$52.95,https://shop.nordstrom.com/s/minnetonka-anna-ballerina-flat-women/4958185?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=distressed%20charcoal,,,,
30,trotterssugarmaryjaneflat,,,,,$99.95,https://www.macys.com/shop/product/trotters-sugar-mary-jane-flat?ID=10379267&CategoryID=56233,$99.95,https://shop.nordstrom.com/s/trotters-sugar-mary-jane-flat-women/5395490?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=pewter,,,,
31,softwalkadoraslipon,,,,,$109.95,https://www.macys.com/shop/product/softwalk-adora-slip-on?ID=10325625&CategoryID=56233,$109.95,https://shop.nordstrom.com/s/softwalk-adora-slip-on/2894401?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=taupe,,,,
32,trotterskikipump,,,,,$159.95,https://www.macys.com/shop/product/trotters-kiki-pump?ID=10478760&CategoryID=56233,$109.95,https://shop.nordstrom.com/s/trotters-kiki-pump-women/5395399?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=burgundy%20leather,,,,
33,trotterskikipump,,,,,$109.95,https://www.macys.com/shop/product/trotters-kiki-pump?ID=10478756&CategoryID=56233,$109.95,https://shop.nordstrom.com/s/trotters-kiki-pump-women/5395399?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=burgundy%20leather,,,,
34,trotterskierapump,,,,,$159.95,https://www.macys.com/shop/product/trotters-kiera-pump?ID=10477831&CategoryID=56233,$99.95,https://shop.nordstrom.com/s/trotters-kiera-pump-women/4864665?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=black%20suede,,,,
35,trotterskierapump,,,,,$159.95,https://www.macys.com/shop/product/trotters-kiera-pump?ID=10477831&CategoryID=56233,$68.39 – $73.67,https://shop.nordstrom.com/s/trotters-kiera-pump-women/5552338?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FShoes&color=navy%20print%20leather,,,,
